persona,class_type,credit_price,current_streak,social_score,days_since_last_booking,prob,booked
Pilates Princess,Lagree,9,40,0.41263028609954866,2,0.6425192224764985,0
Balanced Burner,HIIT,14,33,0.48678596963323073,14,0.2671826056247997,1
Balanced Burner,Lagree,16,16,0.039925029838774995,28,0.11026643384024022,0
Lagree Loyalist,Heated Mat Pilates,14,40,0.438529562846942,18,0.34595164789287025,0
Pilates Princess,Yoga Sculpt,17,57,0.9200509314778402,9,0.48376207865547377,1
Mindful Muse,Heated Mat Pilates,9,6,0.056301914416548526,20,0.2570268726108755,0
Pilates Princess,Boxing,13,43,0.33826196260201913,29,0.24864183304204643,1
Mindful Muse,Lagree,13,36,0.5668819500117536,26,0.21462866985270834,0
Lagree Loyalist,HIIT,7,43,0.7894839374994842,7,0.6698906136446106,0
HIIT Hustler,Yoga Sculpt,11,36,0.8153439558884148,29,0.19256997307085094,0
Balanced Burner,Boxing,14,14,0.046378967542912486,13,0.23395962674853737,0
Lagree Loyalist,Boxing,13,97,0.9060732171459541,5,0.6962796354920355,1
Balanced Burner,HIIT,6,2,0.48645492408085567,1,0.5314425736948472,0
Boxing Baddie,Heated Mat Pilates,10,65,0.023947181038640686,26,0.23093727265848527,0
HIIT Hustler,Boxing,18,97,0.5036220997773724,1,0.43538500387261886,0
HIIT Hustler,Reformer Pilates,18,59,0.8731677008213156,5,0.3509081577557774,0
Lagree Loyalist,HIIT,10,98,0.20263290235828801,10,0.6000275116782284,1
HIIT Hustler,Boxing,14,62,0.8789720718338923,20,0.2645780003515418,1
Mindful Muse,HIIT,7,83,0.5618515911978348,22,0.4164753636589677,0
HIIT Hustler,HIIT,10,16,0.17947558461970647,17,0.4294348486108801,1
Balanced Burner,Yoga Sculpt,6,94,0.5020153079402402,19,0.4232623198659922,1
Balanced Burner,Heated Mat Pilates,13,80,0.3893323278218527,8,0.5931009977906797,0
Balanced Burner,Heated Mat Pilates,13,73,0.7135872484532457,28,0.3633337312894122,0
Balanced Burner,Yoga Sculpt,7,86,0.5864218066525712,22,0.36491985300527974,1
Mindful Muse,HIIT,15,29,0.5982059841009063,1,0.44109540289736443,0
Pilates Princess,HIIT,18,36,0.5479496993931414,22,0.2523675072204929,1
Boxing Baddie,Reformer Pilates,6,43,0.736412116145314,8,0.5436898088917663,0
Lagree Loyalist,Boxing,8,65,0.22221772603281387,12,0.5531313112561091,1
Balanced Burner,HIIT,14,40,0.6154818433910094,28,0.16309803885920532,1
HIIT Hustler,Boxing,12,59,0.24781048378041604,26,0.20219093069399807,1
Balanced Burner,Lagree,12,69,0.06741389616236382,23,0.22360577736485987,0
HIIT Hustler,Boxing,15,12,0.7353256061019569,20,0.1831122532274465,0
Boxing Baddie,HIIT,9,55,0.2479440274544784,29,0.22252224020805766,1
Boxing Baddie,Reformer Pilates,20,23,0.07160150757845507,0,0.2578450460854095,0
Boxing Baddie,Lagree,10,2,0.1966596199686761,19,0.20855292077495818,0
HIIT Hustler,Reformer Pilates,12,63,0.9928969067882534,29,0.21906371733796653,0
Balanced Burner,Boxing,7,28,0.8363494730539418,25,0.2851422979448207,0
Boxing Baddie,Reformer Pilates,20,15,0.5662569877135674,20,0.1321740563457337,0
Mindful Muse,Boxing,8,87,0.340013910780419,11,0.5169948418320077,1
HIIT Hustler,Heated Mat Pilates,8,3,0.3414083089254404,0,0.4708885851460864,0
HIIT Hustler,Boxing,16,70,0.35732461130684,18,0.234548652546088,0
Balanced Burner,Yoga Sculpt,12,53,0.9838375179758121,28,0.2141904740929221,0
HIIT Hustler,Reformer Pilates,12,19,0.7555499884091966,4,0.4012318543639413,1
HIIT Hustler,HIIT,16,78,0.35244901581166743,28,0.304011989259463,0
Boxing Baddie,Heated Mat Pilates,11,72,0.017560984950056202,1,0.5066947230051752,1
Balanced Burner,Lagree,6,56,0.263940435442679,26,0.28479127709136803,0
Boxing Baddie,Boxing,15,98,0.20776050451959738,9,0.6072769407050271,1
Boxing Baddie,Yoga Sculpt,16,66,0.2099289766137744,29,0.15045517436932454,0
Balanced Burner,Heated Mat Pilates,20,55,0.949586967183498,18,0.34521852994104596,1
Lagree Loyalist,Reformer Pilates,13,88,0.2427488178750763,8,0.5522211902473718,0
Boxing Baddie,Heated Mat Pilates,15,63,0.16224570033598495,20,0.22237536435480867,0
Mindful Muse,HIIT,20,66,0.8316532526454298,0,0.43257847596073395,0
Mindful Muse,HIIT,15,14,0.8199149483615377,2,0.42848523934224186,1
HIIT Hustler,HIIT,20,74,0.43146204768895235,23,0.28852441636910664,0
Mindful Muse,Yoga Sculpt,9,87,0.6288111966362405,25,0.5507062100922949,1
HIIT Hustler,Heated Mat Pilates,13,69,0.98114957483134,21,0.2864568234424451,1
Lagree Loyalist,Heated Mat Pilates,12,20,0.9498955037781351,8,0.5423823790042378,1
Balanced Burner,Reformer Pilates,6,77,0.2712500911094339,21,0.362709126578181,0
Balanced Burner,Lagree,12,26,0.4003823853062147,11,0.318671172725693,0
Balanced Burner,HIIT,9,76,0.3072893866546149,8,0.4631138392258422,1
Mindful Muse,Lagree,10,86,0.19585336901352257,29,0.25813996559028324,0
Lagree Loyalist,Lagree,18,65,0.22068214339677916,6,0.6253710973058588,1
Mindful Muse,HIIT,11,94,0.6189902073087791,23,0.3501445425466473,0
Mindful Muse,HIIT,10,76,0.5437487458112304,25,0.3150745977044831,1
Lagree Loyalist,Reformer Pilates,17,15,0.8197448380641139,12,0.3662930106219831,1
Lagree Loyalist,Yoga Sculpt,7,0,0.380163982131272,17,0.40566833367882477,1
Lagree Loyalist,HIIT,13,65,0.6935003220307157,23,0.3884339531146489,1
Lagree Loyalist,Lagree,13,95,0.9969546045505293,10,0.8050518034221789,0
Balanced Burner,Reformer Pilates,19,65,0.44622007502636907,1,0.3518005657393195,0
Pilates Princess,Heated Mat Pilates,10,3,0.5902153789783714,0,0.6248317190592699,1
Pilates Princess,Reformer Pilates,19,65,0.6819814350050223,17,0.5239792696847335,0
Lagree Loyalist,HIIT,10,3,0.6256625003847759,6,0.5248289362155666,1
Pilates Princess,Boxing,17,76,0.21667603633411459,1,0.5195744950951497,0
Pilates Princess,HIIT,12,44,0.5822083488762583,12,0.4877784784487804,1
Lagree Loyalist,Yoga Sculpt,7,0,0.030378626724810953,8,0.46461604092056136,0
Pilates Princess,Reformer Pilates,10,56,0.8415511722360226,23,0.6343155141910641,0
Mindful Muse,HIIT,6,66,0.4430023132800551,11,0.5357391783879341,1
HIIT Hustler,Lagree,18,14,0.4772782561931086,2,0.28929376293682535,1
HIIT Hustler,Lagree,9,66,0.08463287824483057,5,0.47935920301429563,0
Lagree Loyalist,Reformer Pilates,17,96,0.15521890964066598,1,0.5624549440264411,0
Balanced Burner,Yoga Sculpt,13,13,0.3764539310315612,1,0.39841735906224013,0
Lagree Loyalist,Boxing,6,9,0.8768141428606483,17,0.5170155482041255,1
Balanced Burner,Reformer Pilates,20,86,0.14011617401636878,5,0.29359962766790326,0
HIIT Hustler,Yoga Sculpt,15,42,0.3529674080751909,1,0.3893346657651763,1
Lagree Loyalist,Lagree,6,7,0.8650316647285095,1,0.8382167169989064,1
Boxing Baddie,HIIT,19,0,0.7609238757788002,12,0.1916168924824227,0
Mindful Muse,Heated Mat Pilates,18,44,0.3559346155279115,13,0.25282041428222424,1
Pilates Princess,HIIT,9,91,0.09736016048944829,12,0.5457913486008509,0
Balanced Burner,Lagree,15,74,0.5583061804263753,0,0.45946213764378124,1
Boxing Baddie,Boxing,10,72,0.24841168088627041,4,0.7052044801222482,1
Pilates Princess,Lagree,14,42,0.5933356965478426,11,0.459257497131445,0
Pilates Princess,HIIT,20,10,0.013944536452924483,12,0.241764899585266,0
Lagree Loyalist,HIIT,19,40,0.2833558027427545,3,0.40613014867897435,0
Pilates Princess,Boxing,10,64,0.19673229772383027,6,0.5789260185820809,0
Mindful Muse,Boxing,6,39,0.7249510242959876,0,0.6556526825701637,1
Boxing Baddie,Lagree,20,51,0.7426429121519631,16,0.21931228503316136,0
Pilates Princess,HIIT,16,66,0.7606073483749236,16,0.40861440199450877,0
Lagree Loyalist,Heated Mat Pilates,8,86,0.9747776349275863,17,0.6417267395018891,0
Mindful Muse,Heated Mat Pilates,9,82,0.6110666251147091,9,0.5415108932412652,1
HIIT Hustler,Reformer Pilates,20,44,0.8439999095487704,5,0.2913575217670272,0
Boxing Baddie,Heated Mat Pilates,12,8,0.59772495959284,15,0.26131644425329503,1
Pilates Princess,Lagree,7,69,0.40005122875201493,15,0.5584874284204981,1
Lagree Loyalist,Lagree,9,79,0.7894489808904811,16,0.7659656432951266,1
HIIT Hustler,Reformer Pilates,13,44,0.4380941369927277,13,0.2993129318038538,0
HIIT Hustler,Yoga Sculpt,10,82,0.9486525525048017,18,0.3914064192552599,1
Balanced Burner,Reformer Pilates,11,18,0.019766343330915648,4,0.3812914927975134,1
Mindful Muse,Yoga Sculpt,8,2,0.6325035067487986,15,0.5683203276058265,1
Pilates Princess,Yoga Sculpt,9,43,0.9573955668174209,22,0.4684663540946212,0
Lagree Loyalist,HIIT,14,12,0.3344208464430617,2,0.4692021651396779,0
Balanced Burner,Boxing,7,25,0.13408240289102635,25,0.24144469316624767,1
Mindful Muse,Heated Mat Pilates,8,19,0.2859688044405484,22,0.2866699876890854,1
Balanced Burner,Yoga Sculpt,7,63,0.08189867340519674,9,0.4574952353591228,0
Boxing Baddie,HIIT,7,22,0.3405385661531708,23,0.260816188990034,0
Mindful Muse,Reformer Pilates,16,82,0.6961138999854026,4,0.4726387507351024,1
Mindful Muse,Reformer Pilates,14,30,0.8024818253953522,21,0.25559191983571866,0
Pilates Princess,Yoga Sculpt,20,69,0.582751058327795,0,0.5090928796873712,0
Mindful Muse,HIIT,13,98,0.7186382933316792,11,0.4713950983430557,1
Balanced Burner,Lagree,12,50,0.05044234412398385,18,0.2507028431963192,0
Mindful Muse,Boxing,19,5,0.19527051115737182,17,0.15950820933158336,1
Pilates Princess,Boxing,14,16,0.38520110684872166,10,0.41401319024125965,1
Pilates Princess,Heated Mat Pilates,20,64,0.8651121956815109,29,0.2145955183378146,0
Boxing Baddie,Yoga Sculpt,13,91,0.31913228822898965,29,0.22944744500857833,0
Balanced Burner,Lagree,14,43,0.05584694704530302,24,0.1696308274155688,0
HIIT Hustler,Heated Mat Pilates,7,60,0.21381468484098642,2,0.5558026662733685,1
HIIT Hustler,Lagree,12,94,0.7576282118858257,2,0.5560851002143872,0
Mindful Muse,Boxing,14,15,0.7793221383958899,20,0.2463321092657857,0
Boxing Baddie,HIIT,18,67,0.5966999836482708,4,0.39206269225196533,0
Lagree Loyalist,Yoga Sculpt,19,66,0.9890769081569665,15,0.41373315132422966,1
Mindful Muse,Lagree,18,6,0.6438549860997799,25,0.14228277674865963,1
Boxing Baddie,Lagree,14,59,0.23897543219440365,18,0.25549584535226055,0
Balanced Burner,Lagree,13,22,0.5998314623585248,21,0.2141565076976982,1
Balanced Burner,Boxing,6,67,0.04611141259634033,5,0.529673444987918,0
Balanced Burner,Yoga Sculpt,8,19,0.6622183672683634,1,0.5258931931819611,0
Balanced Burner,HIIT,13,76,0.9388743975991822,16,0.33663241596195453,0
Balanced Burner,HIIT,8,71,0.6552212023828521,3,0.5650212989030096,1
Boxing Baddie,Lagree,9,35,0.6345921560012717,22,0.2915838844940753,0
Boxing Baddie,HIIT,15,97,0.5784760231074592,12,0.41635321905288514,0
Pilates Princess,Heated Mat Pilates,7,67,0.6572710078450006,15,0.5874989006505024,1
HIIT Hustler,HIIT,8,25,0.8974782162454711,11,0.6116476807713082,0
Balanced Burner,Lagree,10,34,0.043599412966475404,19,0.2559892225992743,0
Lagree Loyalist,Heated Mat Pilates,17,52,0.04676336977883755,22,0.228651375368767,0
Boxing Baddie,Yoga Sculpt,16,19,0.03646228463369183,20,0.14297848514973496,0
Lagree Loyalist,Reformer Pilates,11,9,0.9745609740072221,5,0.5809651263438641,1
Lagree Loyalist,Boxing,11,69,0.018794325639153286,6,0.5456913215850546,1
Lagree Loyalist,HIIT,12,93,0.291427380451612,19,0.4523590690374825,1
Pilates Princess,Heated Mat Pilates,17,2,0.9350839042249393,8,0.42985125617612746,0
Boxing Baddie,Reformer Pilates,15,83,0.9015777007912444,26,0.26850690514517667,0
Lagree Loyalist,Yoga Sculpt,13,45,0.11325284631536991,23,0.2764682801323057,1
Balanced Burner,Reformer Pilates,11,66,0.7467031375106811,7,0.4561159421859316,0
Mindful Muse,Yoga Sculpt,15,79,0.730729403762181,4,0.6827181819255523,1
Lagree Loyalist,Lagree,11,3,0.6888319054699584,3,0.732491254690218,1
Pilates Princess,Lagree,7,39,0.8188858415063837,9,0.6443839074359257,0
Boxing Baddie,Boxing,18,38,0.757111534263338,22,0.32751537838182404,0
Pilates Princess,Boxing,8,16,0.9430571951790908,15,0.5402945753540062,0
Lagree Loyalist,Yoga Sculpt,11,28,0.9582522636835012,19,0.44249343723998685,1
Boxing Baddie,Reformer Pilates,11,3,0.3615166685389525,12,0.27443391623385605,0
Mindful Muse,Boxing,11,73,0.13396602794651424,3,0.515391738176418,0
Lagree Loyalist,HIIT,20,72,0.9488745922175771,11,0.44900907380606936,0
Pilates Princess,Reformer Pilates,9,74,0.2867751245185852,8,0.7673463795014038,1
HIIT Hustler,Boxing,20,64,0.0027459571545503936,0,0.320565063964248,1
Balanced Burner,Reformer Pilates,16,94,0.11517258375862827,12,0.2941219057234842,0
Pilates Princess,HIIT,7,16,0.5772622781870616,29,0.3449371720987461,0
Boxing Baddie,Reformer Pilates,13,63,0.2768098985531109,29,0.18473436704173105,0
Lagree Loyalist,Reformer Pilates,7,99,0.5111000497530106,16,0.6315006515094724,1
Balanced Burner,Heated Mat Pilates,8,46,0.7573807822329973,6,0.6936446796866808,1
Lagree Loyalist,Yoga Sculpt,6,17,0.1723669276537193,17,0.42786191773174614,1
Boxing Baddie,Lagree,14,70,0.0013528224361389896,24,0.19951576400268495,0
Lagree Loyalist,Boxing,8,25,0.7588258605561343,20,0.4539547104958871,1
HIIT Hustler,Boxing,7,23,0.655222413889261,16,0.3537871961204514,1
Balanced Burner,Boxing,11,32,0.3412105199906671,21,0.23728240141972798,0
Balanced Burner,Yoga Sculpt,13,89,0.17094405525104894,19,0.27017856873727936,0
Boxing Baddie,Reformer Pilates,9,28,0.03077278167382913,26,0.18959965489059707,0
HIIT Hustler,HIIT,6,87,0.26495724388742925,9,0.7228188097717817,0
Pilates Princess,HIIT,19,45,0.9878962486393921,8,0.4499056596951823,0
Lagree Loyalist,Lagree,12,75,0.3375177964257423,23,0.5726106770321789,0
Mindful Muse,Lagree,19,91,0.7990020793520565,12,0.3419988806726111,0
Lagree Loyalist,Lagree,19,25,0.752713405262773,7,0.5942657070594597,1
Lagree Loyalist,HIIT,8,40,0.09722801546092164,18,0.4105570140745266,0
Pilates Princess,Reformer Pilates,10,24,0.24942157606345583,26,0.4861812170448966,0
Lagree Loyalist,Lagree,16,14,0.8588017904157449,17,0.5243011069065204,0
HIIT Hustler,Lagree,7,94,0.37424187298110767,11,0.5150635805246703,0
HIIT Hustler,HIIT,20,33,0.7218130574381714,21,0.26845880031824204,0
Balanced Burner,Boxing,13,50,0.3327751002978102,26,0.18389659243325554,0
Boxing Baddie,Reformer Pilates,8,71,0.3686096409885089,26,0.3064656315229883,0
Mindful Muse,Lagree,14,26,0.6027728461529844,13,0.31585408688881506,0
Lagree Loyalist,Reformer Pilates,6,3,0.23541103248380646,17,0.40980939552731005,0
Lagree Loyalist,Heated Mat Pilates,11,75,0.4723782289954296,22,0.42639543946956865,0
Pilates Princess,Boxing,8,94,0.7242125086559666,9,0.6774562642587569,1
Boxing Baddie,Boxing,19,84,0.014020563823218923,21,0.3302643433229031,0
HIIT Hustler,Lagree,9,19,0.8928678029335525,8,0.42088543381380555,1
Mindful Muse,Lagree,16,47,0.4863883315002874,24,0.19727006368176547,0
Balanced Burner,HIIT,9,52,0.610967519398811,18,0.3369960487800874,0
HIIT Hustler,Boxing,20,62,0.7400577863107509,23,0.1552527987953056,0
Boxing Baddie,Heated Mat Pilates,13,16,0.13707801409886367,11,0.25398680081521413,0
Balanced Burner,Heated Mat Pilates,14,94,0.8566258259682443,7,0.6357552771754905,0
Pilates Princess,Heated Mat Pilates,20,78,0.36226775445880544,15,0.3145643140004202,0
Pilates Princess,Yoga Sculpt,10,31,0.0508598313177091,14,0.4207805251633456,1
Lagree Loyalist,HIIT,17,65,0.9089182378957603,14,0.4514907998025417,0
Boxing Baddie,HIIT,16,91,0.7956410013990833,4,0.5092040853290495,0
Mindful Muse,Lagree,15,84,0.35727478433949944,10,0.38862632203420633,0
Balanced Burner,HIIT,15,49,0.8489014026200778,23,0.20581649485617884,0
HIIT Hustler,Lagree,8,12,0.6436921667549919,22,0.2567571109601109,0
Boxing Baddie,Lagree,14,96,0.7930157294399438,26,0.297445464070129,0
Boxing Baddie,Yoga Sculpt,6,26,0.9663977762969086,3,0.5956082071755089,0
Pilates Princess,HIIT,6,25,0.06335372648814075,1,0.6517355696864262,0
Lagree Loyalist,HIIT,8,52,0.7802568757516055,17,0.5483866289493656,1
Lagree Loyalist,Yoga Sculpt,7,33,0.06582720141474241,20,0.3878155753673402,0
Balanced Burner,Yoga Sculpt,13,81,0.6761418566927403,3,0.47947218458496893,0
Pilates Princess,HIIT,10,73,0.8086257107968472,9,0.6269870748903271,0
Boxing Baddie,HIIT,15,82,0.39374963936765917,29,0.1954269392176101,0
Mindful Muse,Lagree,6,56,0.23145840972877219,7,0.549483331700955,1
Pilates Princess,Reformer Pilates,8,11,0.22426574804915367,17,0.6170706165442069,0
Balanced Burner,Boxing,8,87,0.31635102471666166,10,0.47250409403766985,0
Balanced Burner,Lagree,18,64,0.7374877163628195,6,0.33208860978931093,0
Pilates Princess,Heated Mat Pilates,7,8,0.9897102802653055,6,0.662589452384452,0
Balanced Burner,Heated Mat Pilates,14,92,0.9831368534291789,15,0.5461039303823556,0
Pilates Princess,Reformer Pilates,18,44,0.21618307562625194,22,0.3984545961262282,0
HIIT Hustler,Boxing,6,91,0.14039455693591585,6,0.5742269801847765,1
Pilates Princess,Yoga Sculpt,15,98,0.1601152366205577,9,0.48002504141578545,0
Pilates Princess,Heated Mat Pilates,10,81,0.5783443410042365,7,0.6327824360663076,1
Balanced Burner,Yoga Sculpt,14,43,0.591978060468732,19,0.23551882008498146,0
Balanced Burner,Yoga Sculpt,17,47,0.900126253509043,15,0.24881129689646017,1
Lagree Loyalist,Lagree,8,18,0.3953370735206473,12,0.6772586979620296,1
Lagree Loyalist,Yoga Sculpt,15,85,0.8657103256777772,28,0.35421242730077285,0
HIIT Hustler,Reformer Pilates,8,81,0.15909144582283674,6,0.5186731697023841,1
Lagree Loyalist,Lagree,12,53,0.8315124969590447,18,0.6599132148349452,1
Pilates Princess,Reformer Pilates,6,75,0.35876362785225635,8,0.8137224867375527,1
Balanced Burner,Yoga Sculpt,18,72,0.8452186955747258,3,0.3830944445456334,0
Lagree Loyalist,Heated Mat Pilates,14,35,0.314877440584754,28,0.2225143599880175,0
Lagree Loyalist,Boxing,12,14,0.739106516929719,18,0.3764752644909183,0
HIIT Hustler,Yoga Sculpt,19,8,0.8549165161773776,6,0.24833258451518003,0
Boxing Baddie,Reformer Pilates,17,8,0.12117178619561264,27,0.09301086920137197,0
HIIT Hustler,HIIT,17,45,0.11247763462918714,14,0.3748989697006749,0
Pilates Princess,HIIT,13,30,0.7288325559274198,9,0.5061037662615641,0
Balanced Burner,Heated Mat Pilates,7,54,0.688586577180186,9,0.6827797429691663,0
HIIT Hustler,Boxing,20,69,0.17544765683684904,8,0.25647604752270325,0
Lagree Loyalist,Reformer Pilates,8,57,0.9991361282391916,20,0.5536629383711709,0
Balanced Burner,Heated Mat Pilates,19,14,0.14058276627941357,29,0.17395894247968952,0
Balanced Burner,Lagree,14,39,0.49567560578503,21,0.2097724917561817,1
Lagree Loyalist,Yoga Sculpt,19,9,0.2304996435584734,29,0.12349949496325259,0
HIIT Hustler,Lagree,20,0,0.08350097604231865,1,0.22706656723994179,0
Lagree Loyalist,HIIT,9,71,0.4501910352442058,29,0.3700772608019452,0
Boxing Baddie,Yoga Sculpt,10,23,0.9980864144759515,27,0.2415946299738854,0
Balanced Burner,Lagree,14,84,0.9585228550572039,10,0.3983264461127555,0
Mindful Muse,HIIT,15,63,0.3747059101863415,1,0.4695084742285147,1
Mindful Muse,Boxing,13,47,0.5009227971958521,8,0.41153318355007246,0
Pilates Princess,Lagree,10,99,0.9033958642915416,18,0.561363583281061,0
Lagree Loyalist,Yoga Sculpt,16,93,0.9125541634685198,6,0.6251656590231951,1
Lagree Loyalist,Lagree,7,49,0.778663663745001,20,0.7107847042532198,0
Pilates Princess,Yoga Sculpt,8,2,0.2582521506441253,27,0.2992495640201371,0
Pilates Princess,Lagree,8,69,0.3718605463985889,26,0.39913520417608667,1
Pilates Princess,Heated Mat Pilates,17,63,0.5729888124849143,5,0.4978736143800684,0
Balanced Burner,Boxing,12,24,0.8551265216825458,21,0.24352275907487345,0
Boxing Baddie,Lagree,11,55,0.44110818766067605,9,0.4220299162095628,0
Lagree Loyalist,Lagree,12,40,0.6240712099763216,11,0.6866368323103229,1
Balanced Burner,Heated Mat Pilates,13,58,0.4104605084879741,28,0.3258837508021515,0
Pilates Princess,HIIT,16,32,0.5889981264531805,3,0.5061244594825713,0
Lagree Loyalist,Yoga Sculpt,10,74,0.014364921532164288,18,0.42570879834123754,1
Balanced Burner,Reformer Pilates,18,11,0.37134308891117307,20,0.14509556787008088,1
Boxing Baddie,HIIT,20,0,0.766517638666734,9,0.20314686799547868,1
Balanced Burner,Yoga Sculpt,18,67,0.024696774106369612,13,0.22311743239710813,0
Boxing Baddie,Lagree,11,68,0.8176568591594064,14,0.4355673654307048,0
Pilates Princess,HIIT,6,98,0.9853542810013852,11,0.721653253764874,1
Boxing Baddie,Lagree,19,58,0.488738175022165,7,0.30924936771059613,0
Lagree Loyalist,HIIT,9,74,0.17173355770526133,12,0.5436486444456589,1
Pilates Princess,HIIT,11,29,0.8513293686294616,29,0.31879059376210056,0
Lagree Loyalist,Reformer Pilates,9,32,0.7932861434692441,13,0.5404046260884813,1
Mindful Muse,Heated Mat Pilates,18,39,0.9791781328551667,20,0.22893602538921587,1
HIIT Hustler,HIIT,6,84,0.245843295008077,24,0.5453135744700792,0
Boxing Baddie,Lagree,19,21,0.18696840940028825,11,0.18429488575866285,0
HIIT Hustler,Reformer Pilates,8,24,0.13401159759008074,28,0.1928189198212228,0
HIIT Hustler,HIIT,8,97,0.4440890610758039,13,0.6730971670331388,1
Boxing Baddie,Heated Mat Pilates,8,3,0.7271636124248294,28,0.20596550627376586,1
Pilates Princess,Lagree,9,11,0.1433063337778121,29,0.2605047366244645,1
Mindful Muse,Reformer Pilates,16,3,0.42633692537095436,15,0.22418104424941848,0
Lagree Loyalist,Yoga Sculpt,14,22,0.24882000641673485,27,0.20673689641964207,0
Balanced Burner,Boxing,14,69,0.39598210775264253,26,0.18904839054397637,0
Lagree Loyalist,Heated Mat Pilates,19,57,0.05139316754559875,8,0.3467934344530751,0
Balanced Burner,Yoga Sculpt,13,96,0.3874430212515687,13,0.35577097567961236,0
Lagree Loyalist,Yoga Sculpt,19,34,0.0727784406408325,15,0.23969854481794314,1
Boxing Baddie,Reformer Pilates,8,57,0.7705562303987169,9,0.5270431125017443,1
Mindful Muse,Reformer Pilates,17,96,0.04398511831745022,4,0.4094097547348268,1
Balanced Burner,Reformer Pilates,7,5,0.33879851200355693,9,0.405316654613571,1
Pilates Princess,Yoga Sculpt,18,6,0.12891376568843016,26,0.16171222020154974,0
Lagree Loyalist,Boxing,8,20,0.7136897660608936,9,0.5740058220050321,0
Lagree Loyalist,Lagree,20,14,0.1422423868908399,16,0.3537366055712711,0
Balanced Burner,Reformer Pilates,16,65,0.6521170240911955,21,0.21259313994938053,0
Pilates Princess,Heated Mat Pilates,19,86,0.6159067788682305,16,0.35846180468668115,0
Pilates Princess,Reformer Pilates,20,66,0.5847227490209704,17,0.493090783447558,0
Boxing Baddie,Boxing,10,11,0.2659546243822155,12,0.48300088224074345,1
Boxing Baddie,Reformer Pilates,12,48,0.8878158804699113,27,0.24340671659452295,0
Boxing Baddie,Boxing,7,78,0.189348526067598,2,0.7749845911329971,1
Boxing Baddie,Reformer Pilates,11,61,0.3667206669741845,3,0.5005900830978185,0
Boxing Baddie,Yoga Sculpt,16,32,0.7277611755355818,28,0.1508282856307331,0
Boxing Baddie,Boxing,16,60,0.22565095719631656,11,0.4807159398715872,0
Mindful Muse,Lagree,7,12,0.6070056655928145,11,0.4513549254112751,1
